Time (ms), Total messages, Received messages, Corrupted messages, Missing messages, Total bytes, Received bytes, Corrupted bytes, Missing bytes, Buffer
12.40, 0, 1, 1, 4294967295, 0, 3, 2, 0, 
15.49, 3, 2, 2, 1, 6, 6, 2, 0, SL
17.55, 5, 3, 3, 2, 10, 9, 4, 0, P
20.65, 8, 4, 4, 4, 16, 12, 6, 0, P
24.77, 12, 5, 4, 7, 24, 15, 6, 0, SL
26.84, 14, 6, 5, 8, 28, 18, 6, 0, SL
27.87, 15, 7, 5, 8, 30, 21, 6, 0, SL
28.90, 16, 8, 5, 8, 32, 24, 6, 0, SL
30.97, 18, 9, 6, 9, 36, 27, 7, 0, S
32.00, 19, 10, 6, 9, 38, 30, 7, 0, SL
33.03, 20, 11, 6, 9, 40, 33, 7, 0, SL
34.06, 21, 12, 6, 9, 42, 36, 7, 0, SL
35.10, 22, 13, 6, 9, 44, 39, 7, 0, SL
36.13, 23, 14, 6, 9, 46, 42, 7, 0, SL
37.16, 24, 15, 6, 9, 48, 45, 7, 0, SL
38.19, 25, 16, 6, 9, 50, 48, 7, 0, SL
39.22, 26, 17, 6, 9, 52, 51, 7, 0, SL
40.26, 27, 18, 6, 9, 54, 54, 7, 0, SL
41.29, 28, 19, 6, 9, 56, 57, 7, 0, SL
42.32, 29, 20, 6, 9, 58, 60, 7, 0, SL
43.35, 30, 21, 6, 9, 60, 63, 7, 0, SL
44.38, 31, 22, 6, 9, 62, 66, 7, 0, SL
45.42, 32, 23, 6, 9, 64, 69, 7, 0, SL
46.45, 34, 24, 6, 10, 68, 72, 7, 0, SL
47.48, 35, 25, 6, 10, 70, 75, 7, 0, SL
48.51, 36, 26, 6, 10, 72, 78, 7, 0, SL
49.54, 37, 27, 6, 10, 74, 81, 7, 0, SL
50.58, 38, 28, 6, 10, 76, 84, 7, 0, SL
51.61, 39, 29, 6, 10, 78, 87, 7, 0, SL
52.64, 40, 30, 6, 10, 80, 90, 7, 0, SL
53.67, 41, 31, 6, 10, 82, 93, 7, 0, SL
54.70, 42, 32, 6, 10, 84, 96, 7, 0, SL
55.74, 43, 33, 6, 10, 86, 99, 7, 0, SL
57.80, 45, 34, 6, 11, 90, 102, 7, 0, SL
58.83, 46, 35, 6, 11, 92, 105, 7, 0, SL
59.86, 47, 36, 6, 11, 94, 108, 7, 0, SL
60.90, 48, 37, 6, 11, 96, 111, 7, 0, SL
61.93, 49, 38, 6, 11, 98, 114, 7, 0, SL
63.99, 51, 39, 6, 12, 102, 117, 7, 0, SL
65.02, 52, 40, 6, 12, 104, 120, 7, 0, SL
66.05, 53, 41, 6, 12, 106, 123, 7, 0, SL
68.12, 55, 42, 6, 13, 110, 126, 7, 0, SL
70.18, 57, 43, 6, 14, 114, 129, 7, 0, SL
71.21, 58, 44, 6, 14, 116, 132, 7, 0, SL
72.25, 59, 45, 6, 14, 118, 135, 7, 0, SL
73.28, 60, 46, 6, 14, 120, 138, 7, 0, SL
75.34, 62, 47, 6, 15, 124, 141, 7, 0, SL
76.37, 63, 48, 6, 15, 126, 144, 7, 0, SL
78.44, 65, 49, 6, 16, 130, 147, 7, 0, SL
79.47, 67, 50, 6, 17, 134, 150, 7, 0, SL
80.50, 68, 51, 6, 17, 136, 153, 7, 0, SL
81.53, 69, 52, 6, 17, 138, 156, 7, 0, SL
82.57, 70, 53, 6, 17, 140, 159, 7, 0, SL
83.60, 71, 54, 6, 17, 142, 162, 7, 0, SL
84.63, 72, 55, 6, 17, 144, 165, 7, 0, SL
