Time (seconds), Total messages, Received messages, Corrupted messages, Missing messages, Total bytes, Received bytes, Corrupted bytes, Missing bytes, Buffer
0, 0, 1, 1, 0, 0, 3, 2, 0, P@
2, 2, 2, 2, 0, 4, 6, 4, 0, P
4, 4, 3, 3, 1, 8, 9, 6, 0, 
5, 5, 4, 4, 1, 10, 12, 6, 0, SL
7, 7, 5, 5, 2, 14, 15, 7, 0, S
8, 8, 6, 6, 2, 16, 18, 7, 0, SL
10, 10, 7, 6, 3, 20, 21, 7, 0, SL
11, 11, 8, 7, 3, 22, 24, 7, 0, SL
12, 12, 9, 8, 3, 24, 27, 9, 0, 
13, 13, 10, 9, 3, 26, 30, 9, 0, SL
14, 14, 11, 10, 3, 28, 33, 10, 0, S@
15, 15, 12, 11, 3, 30, 36, 10, 0, SL
16, 16, 13, 11, 3, 32, 39, 10, 0, SL
17, 17, 14, 11, 3, 34, 42, 10, 0, SL
18, 18, 15, 11, 3, 36, 45, 10, 0, SL
19, 19, 16, 12, 3, 38, 48, 11, 0, S
20, 20, 17, 13, 3, 40, 51, 11, 0, SL
22, 22, 18, 14, 4, 44, 54, 11, 0, SL
23, 23, 19, 14, 4, 46, 57, 11, 0, SL
24, 24, 20, 15, 4, 48, 60, 12, 0, PL
26, 26, 21, 15, 5, 52, 63, 12, 0, SL
27, 27, 22, 16, 5, 54, 66, 13, 0, S@
29, 29, 23, 17, 6, 58, 69, 14, 0, 
31, 31, 24, 18, 7, 62, 72, 15, 0, S
33, 32, 25, 19, 7, 64, 75, 15, 0, SL
34, 34, 26, 20, 8, 68, 78, 16, 0, S@
35, 35, 27, 20, 8, 70, 81, 16, 0, SL
36, 36, 28, 20, 8, 72, 84, 16, 0, SL
37, 37, 29, 21, 8, 74, 87, 16, 0, SL
38, 38, 30, 21, 8, 76, 90, 16, 0, SL
39, 39, 31, 21, 8, 78, 93, 16, 0, SL
40, 40, 32, 21, 8, 80, 96, 16, 0, SL
42, 42, 33, 22, 9, 84, 99, 16, 0, SL
43, 43, 34, 22, 9, 86, 102, 16, 0, SL
44, 44, 35, 23, 9, 88, 105, 16, 0, SL
45, 45, 36, 24, 9, 90, 108, 17, 0, PL
46, 46, 37, 25, 9, 92, 111, 19, 0, P
47, 47, 38, 25, 9, 94, 114, 19, 0, SL
48, 48, 39, 26, 9, 96, 117, 20, 0, S
51, 51, 40, 27, 11, 102, 120, 21, 0, S
52, 52, 41, 28, 11, 104, 123, 21, 0, SL
53, 53, 42, 29, 11, 106, 126, 22, 0, S@
56, 56, 43, 30, 13, 112, 129, 23, 0, PL
58, 58, 44, 31, 14, 116, 132, 23, 0, SL
59, 59, 45, 31, 14, 118, 135, 23, 0, SL
60, 60, 46, 32, 14, 120, 138, 24, 0, S@
61, 61, 47, 32, 14, 122, 141, 24, 0, SL
62, 62, 48, 32, 14, 124, 144, 24, 0, SL
