Time (seconds); Total messages; Received messages; Corrupted messages; Missing messages; Total bytes; Received bytes; Corrupted bytes; Missing bytes; Buffer
0;0;1;1;0;0;25;19;0; Mie
1;1;2;2;0;24;50;32;0; Mi`e he
4;4;3;3;1;96;75;46;0; Miek
15;14;4;4;10;336;88;55;10; @
17;17;5;5;12;408;113;70;10; @`ke ht e
18;18;6;6;12;432;138;92;10; M
19;19;7;7;12;456;163;116;10; 
32;32;8;8;24;768;176;130;20; 
34;33;9;9;24;792;179;134;40; 
68;68;10;10;58;1632;192;148;50; 
90;89;11;11;78;2136;205;162;60; 
108;108;12;12;96;2592;218;176;70; 
110;110;13;13;97;2640;231;190;80; 
163;162;14;14;148;3888;256;197;80; Miek` heef
164;164;15;15;149;3936;281;208;80; Mie
169;168;16;16;152;4032;306;219;80; ieke hft 
170;170;17;17;153;4080;331;238;80; Mieke 
171;171;18;18;153;4104;356;262;80; 
172;172;19;19;153;4128;381;276;80;" M	eke ``t e`"
173;173;20;20;153;4152;406;293;80;" @	ek` `eft e"
174;174;21;21;153;4176;431;302;80; 
175;175;22;22;153;4200;456;311;80; Mike heeft ee
176;176;23;23;153;4224;481;323;80; Mike he`t een 
177;177;24;24;153;4248;506;339;80; Mi`ke h`
179;178;25;25;153;4272;531;359;80; M`
181;181;26;26;155;4344;540;364;94; Mie
195;195;27;27;168;4680;565;387;94; M
204;203;28;28;175;4872;590;398;94; Mieke eeft
205;205;29;29;176;4920;599;402;108; iek`
206;206;30;30;176;4944;624;414;108; ieke
207;207;31;31;176;4968;637;423;118; ieke 
210;210;32;32;178;5040;662;435;118; 
213;212;33;33;179;5088;687;444;118;" @	eke he`t ee`"
216;216;34;34;182;5184;712;462;118; Mi`
217;217;35;35;182;5208;737;483;118; Mie
220;220;36;36;184;5280;762;485;118; Mieke heeft een l
228;227;37;37;190;5448;775;498;128; 
229;229;38;38;191;5496;788;511;138; 
230;230;39;39;191;5520;813;536;138; 
231;231;40;40;191;5544;838;552;138; M
232;232;41;41;191;5568;863;576;138; @`
233;233;42;42;191;5592;888;598;138; M`
235;234;43;43;191;5616;913;620;138; Mi
246;245;44;44;201;5880;938;645;138; 
247;247;45;45;202;5928;963;666;138; @
248;248;46;46;202;5952;988;688;138; @
249;249;47;47;202;5976;1013;712;138; 
250;250;48;48;202;6000;1038;735;138; M`
251;251;49;49;202;6024;1063;753;138; Mi`
252;252;50;50;202;6048;1088;771;138; Mie
255;255;51;51;204;6120;1113;789;138; Miek
258;257;52;52;205;6168;1138;798;138; Mieke eeft
262;262;53;53;209;6288;1163;821;138; 
263;263;54;54;209;6312;1188;830;138; 
264;264;55;55;209;6336;1213;849;138; M
265;265;56;56;209;6360;1238;870;138; M
266;266;57;57;209;6384;1263;891;138; M
267;267;58;58;209;6408;1288;912;138; Mi
269;268;59;59;209;6432;1313;927;138; Mieke hee
270;270;60;60;210;6480;1338;949;138; Mi
272;272;61;61;211;6528;1347;954;152; Mie
273;273;62;62;211;6552;1360;961;162; Mik`
276;276;63;63;213;6624;1373;972;172; 
280;279;64;64;215;6696;1386;979;182; 
281;281;65;65;216;6744;1411;1004;182; @
282;282;66;66;216;6768;1436;1005;182; Mieke heeft een lammepje
283;283;67;67;216;6792;1461;1023;182; Mieke `e`
284;284;68;68;216;6816;1486;1038;182; Mieke he
285;285;69;69;216;6840;1511;1057;182; Mi`
286;286;70;70;216;6864;1536;1072;182; Mie
291;290;71;71;219;6960;1561;1080;182; ieke 
292;292;72;72;220;7008;1586;1081;182; Mieke heeft `en lammetje
293;293;73;73;220;7032;1611;1083;182; Mieke heeft en lam`etje
294;294;74;74;220;7056;1636;1084;182; Mieke heeft een lamm
295;295;75;75;220;7080;1661;1093;182; Mieke he
296;296;76;76;220;7104;1686;1108;182;" M	ek` he`t e"
297;297;77;77;220;7128;1711;1114;182; Mieke heeft e``
298;298;78;78;220;7152;1736;1131;182; Mieke h`
299;299;79;79;220;7176;1761;1147;182; M
