Time (seconds), Total messages, Received messages, Corrupted messages, Missing messages, Total bytes, Received bytes, Corrupted bytes, Missing bytes, Buffer
0, 0, 1, 1, 0, 0, 3, 1, 0, S
2, 2, 2, 2, 0, 4, 6, 3, 0, P
5, 5, 3, 3, 2, 10, 9, 3, 0, SL
15, 15, 4, 4, 11, 30, 12, 5, 0, P
18, 18, 5, 5, 13, 36, 15, 5, 0, SL
20, 20, 6, 6, 14, 40, 18, 8, 0, P
22, 22, 7, 7, 15, 44, 21, 9, 0, 
26, 26, 8, 8, 18, 52, 24, 11, 0, 
28, 28, 9, 9, 19, 56, 27, 13, 0, P
31, 31, 10, 10, 21, 62, 30, 15, 0, P@
34, 33, 11, 11, 22, 66, 33, 17, 0, 
37, 37, 12, 12, 25, 74, 36, 18, 0, S
45, 45, 13, 13, 32, 90, 39, 19, 0, S@
48, 48, 14, 14, 34, 96, 42, 21, 0, P
55, 55, 15, 15, 40, 110, 45, 23, 0, 
58, 58, 16, 16, 42, 116, 48, 25, 0, P
63, 63, 17, 17, 46, 126, 51, 27, 0, P
70, 69, 18, 18, 51, 138, 54, 27, 0, SL
77, 77, 19, 19, 58, 154, 57, 30, 0, P
82, 82, 20, 20, 62, 164, 60, 32, 0, P
85, 85, 21, 21, 64, 170, 63, 34, 0, P
86, 86, 22, 22, 64, 172, 66, 34, 0, SL
88, 88, 23, 23, 65, 176, 69, 35, 0, S@
93, 93, 24, 24, 69, 186, 72, 37, 0, P@
102, 101, 25, 25, 76, 202, 75, 39, 0, P
105, 105, 26, 26, 79, 210, 78, 39, 0, SL
113, 113, 27, 27, 86, 226, 81, 41, 0, P
115, 115, 28, 28, 87, 230, 84, 43, 0, P
120, 120, 29, 29, 91, 240, 87, 44, 0, S
123, 123, 30, 30, 93, 246, 90, 46, 0, 
125, 125, 31, 31, 94, 250, 93, 48, 0, 
129, 128, 32, 32, 96, 256, 96, 49, 0, S
137, 137, 33, 33, 104, 274, 99, 51, 0, 
140, 140, 34, 34, 106, 280, 102, 53, 0, P
180, 180, 35, 35, 145, 360, 105, 54, 0, S
187, 187, 36, 36, 151, 374, 108, 56, 0, 
189, 189, 37, 37, 152, 378, 111, 57, 0, PL
190, 190, 38, 38, 152, 380, 114, 59, 0, 
194, 193, 39, 39, 154, 386, 117, 61, 0, P
199, 199, 40, 40, 159, 398, 120, 62, 0, S
217, 217, 41, 41, 176, 434, 123, 64, 0, P
241, 240, 42, 42, 198, 480, 126, 66, 0, 
254, 254, 43, 43, 211, 508, 129, 68, 0, 
256, 256, 44, 44, 212, 512, 132, 69, 0, S
258, 257, 45, 45, 212, 514, 135, 69, 0, SL
260, 260, 46, 46, 214, 520, 138, 70, 0, S
262, 262, 47, 47, 215, 524, 141, 72, 0, 
265, 265, 48, 48, 217, 530, 144, 73, 0, S
268, 268, 49, 49, 219, 536, 147, 73, 0, SL
270, 270, 50, 50, 220, 540, 150, 75, 0, 
273, 273, 51, 51, 222, 546, 153, 77, 0, P
275, 275, 52, 52, 223, 550, 156, 79, 0, 
276, 276, 53, 53, 223, 552, 159, 81, 0, @
277, 277, 54, 53, 223, 554, 162, 81, 0, SL
280, 280, 55, 54, 225, 560, 165, 82, 0, L
281, 281, 56, 55, 225, 562, 168, 83, 0, L
283, 283, 57, 56, 226, 566, 171, 84, 0, S
284, 284, 58, 57, 226, 568, 174, 86, 0, @
288, 288, 59, 58, 229, 576, 177, 88, 0, P
289, 289, 60, 59, 229, 578, 180, 88, 0, SL
293, 292, 61, 60, 231, 584, 183, 89, 0, PL
294, 294, 62, 61, 232, 588, 186, 92, 0, 
295, 295, 63, 62, 232, 590, 189, 92, 0, SL
296, 296, 64, 62, 232, 592, 192, 92, 0, SL
297, 297, 65, 63, 232, 594, 195, 93, 0, S@
299, 299, 66, 64, 233, 598, 198, 95, 0, 
